"ID","n","p","h2","n_effect_vars"
1,500,1000,0.01,5
2,800,1000,0.01,5
3,500,3000,0.01,5
4,800,3000,0.01,5
5,500,5000,0.01,5
6,800,5000,0.01,5
7,500,1000,0.1,5
8,800,1000,0.1,5
9,500,3000,0.1,5
10,800,3000,0.1,5
11,500,5000,0.1,5
12,800,5000,0.1,5
13,500,1000,0.2,5
14,800,1000,0.2,5
15,500,3000,0.2,5
16,800,3000,0.2,5
17,500,5000,0.2,5
18,800,5000,0.2,5
19,500,1000,0.4,5
20,800,1000,0.4,5
21,500,3000,0.4,5
22,800,3000,0.4,5
23,500,5000,0.4,5
24,800,5000,0.4,5
25,500,1000,0.01,3
26,800,1000,0.01,3
27,500,3000,0.01,3
28,800,3000,0.01,3
29,500,5000,0.01,3
30,800,5000,0.01,3
31,500,1000,0.1,3
32,800,1000,0.1,3
33,500,3000,0.1,3
34,800,3000,0.1,3
35,500,5000,0.1,3
36,800,5000,0.1,3
37,500,1000,0.2,3
38,800,1000,0.2,3
39,500,3000,0.2,3
40,800,3000,0.2,3
41,500,5000,0.2,3
42,800,5000,0.2,3
43,500,1000,0.4,3
44,800,1000,0.4,3
45,500,3000,0.4,3
46,800,3000,0.4,3
47,500,5000,0.4,3
48,800,5000,0.4,3
49,500,1000,0.01,1
50,800,1000,0.01,1
51,500,3000,0.01,1
52,800,3000,0.01,1
53,500,5000,0.01,1
54,800,5000,0.01,1
55,500,1000,0.1,1
56,800,1000,0.1,1
57,500,3000,0.1,1
58,800,3000,0.1,1
59,500,5000,0.1,1
60,800,5000,0.1,1
61,500,1000,0.2,1
62,800,1000,0.2,1
63,500,3000,0.2,1
64,800,3000,0.2,1
65,500,5000,0.2,1
66,800,5000,0.2,1
67,500,1000,0.4,1
68,800,1000,0.4,1
69,500,3000,0.4,1
70,800,3000,0.4,1
71,500,5000,0.4,1
72,800,5000,0.4,1
73,500,1000,0.3,5
74,800,1000,0.3,5
75,500,3000,0.3,5
76,800,3000,0.3,5
77,500,5000,0.3,5
78,800,5000,0.3,5
79,500,1000,0.3,3
80,800,1000,0.3,3
81,500,3000,0.3,3
82,800,3000,0.3,3
83,500,5000,0.3,3
84,800,5000,0.3,3
85,500,1000,0.3,1
86,800,1000,0.3,1
87,500,3000,0.3,1
88,800,3000,0.3,1
89,500,5000,0.3,1
90,800,5000,0.3,1
